request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,6552.24,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 25,256.00 request. Although ZAR 6,552.24 is available today, the full amount cannot be completed safely within 90 days."
request_02,19911848.21,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-13,none,"Use 3 installments of IDR 15,952,906.67, starting 2025-08-08. This leaves at least IDR 29,158,400 available."
request_03,923351.5,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 5,491,000.00 request. Although IDR 923,351.50 is available today, the full amount cannot be completed safely within 90 days."
request_04,9440236.67,affordable_later,wait,2024-07-14:12693000.00,2024-07-14,none,"Pay IDR 12,693,000.00 in full on 2024-07-14. Paying earlier would take the balance below the IDR 30,686,600 minimum."
request_05,15488,affordable_now,full_payment,2025-11-06:15488.00,2025-11-06,none,"Pay ZAR 15,488.00 today. This keeps the ZAR 13,100 minimum available over the next 90 days."
request_06,620.4,affordable_now,full_payment,2026-01-03:620.40,2026-01-03,none,Pay EUR 620.40 today. This keeps the EUR 800 minimum available over the next 90 days.
request_07,89769.41,affordable_with_plan,installments,2024-09-12:68432.00|2024-10-10:68432.00|2024-11-07:68432.00,2024-10-26,none,"Use 3 installments of INR 68,432.00, starting 2024-09-12. This leaves at least INR 93,000 available."
request_08,102.66,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 996.60 request. Although EUR 102.66 is available today, the full amount cannot be completed safely within 90 days."
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This keeps the EUR 600 minimum available over the next 90 days.
request_10,266700,not_affordable,not_recommended,none,2024-12-06,none,"Do not make this payment. None of the available options keeps the INR 225,400 minimum protected."
request_11,13110000,affordable_now,full_payment,2025-05-03:13110000.00,2025-05-03,none,"Pay IDR 13,110,000.00 today. This keeps the IDR 34,140,600 minimum available over the next 90 days."
request_12,65164,not_affordable,not_recommended,none,2026-04-05,none,"Do not make this payment. None of the available options keeps the ZAR 43,200 minimum protected."
request_13,941.6,affordable_now,full_payment,2024-03-07:941.60,2024-03-07,none,"Pay EUR 941.60 today. This keeps the EUR 1,300 minimum available over the next 90 days."
request_14,381.71,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 5,414.20 request. Although EUR 381.71 is available today, the full amount cannot be completed safely within 90 days."
request_15,72.72,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,685.00 request. Although EUR 72.72 is available today, the full amount cannot be completed safely within 90 days."
request_16,122500,affordable_now,full_payment,2023-08-12:122500.00,2023-08-12,none,"Pay INR 122,500.00 today. This keeps the INR 122,400 minimum available over the next 90 days."
request_17,238906.32,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,none,"Use 3 installments of INR 95,194.67, starting 2026-03-01. This leaves at least INR 166,100 available."
request_18,606.69,affordable_later,wait,2026-08-14:3246.10,2026-08-14,none,"Pay EUR 3,246.10 in full on 2026-08-14. Paying earlier would take the balance below the EUR 1,400 minimum."
request_19,39660,affordable_with_plan,installments,2024-09-04:20623.20|2024-10-02:20623.20,2024-09-04,none,"Use 2 installments of INR 20,623.20, starting 2024-09-04. This leaves at least INR 92,800 available."
request_20,17784.21,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 303,700.00 request. Although INR 17,784.21 is available today, the full amount cannot be completed safely within 90 days."
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.40,2026-04-03,none,"Pay USD 1,574.40 today. This keeps the USD 1,800 minimum available over the next 90 days."
request_22,480.11,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-16,none,"Use 3 installments of EUR 253.59, starting 2024-12-08. This leaves at least EUR 500 available."
request_23,10360.83,affordable_later,wait,2025-07-14:38016.00,2025-07-14,none,"Pay ZAR 38,016.00 in full on 2025-07-14. Paying earlier would take the balance below the ZAR 27,000 minimum."
request_24,18380.48,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 109,600.00 request. Although INR 18,380.48 is available today, the full amount cannot be completed safely within 90 days."
request_25,3338142.35,affordable_later,wait,2024-03-17:60496000.00,2024-03-17,none,"Pay IDR 60,496,000.00 in full on 2024-03-17. Paying earlier would take the balance below the IDR 23,379,100 minimum."
